"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","Are you excited about #AmazonGo? 
https://t.co/DwzOo0LEs1",FALSE,0,NA,2016-12-15 05:32:00,FALSE,NA,"809269756910071808",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Mynorthwest",0,FALSE,FALSE,NA,NA,"Seattle","en","http://pbs.twimg.com/profile_images/689936866146123776/p55-9B-9_normal.jpg"
"2","W/ #automation in the politicians can't still blame international trade &amp; offshoring for unemployment. #AmazonGo #Digital #US",FALSE,0,NA,2016-12-15 05:28:55,FALSE,NA,"809268982477766656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Immu",0,FALSE,FALSE,NA,NA,"Chennai, India","en","http://pbs.twimg.com/profile_images/702527773714354176/vnGR9DwU_normal.jpg"
"3","Redefining the shopping experience. I could do with no lines and no checkouts #amazongo https://t.co/SkbTeAFbaA https://t.co/RX38IvBNvm",FALSE,0,NA,2016-12-15 05:25:18,FALSE,NA,"809268072787775488",NA,"<a href=""http://dynamicsignal.com/"" rel=""nofollow"">VoiceStorm</a>","vicento2001",0,FALSE,FALSE,NA,NA,"Dubai, United Arab Emirates","en","http://pbs.twimg.com/profile_images/795934909869199361/VZaDQ0rX_normal.jpg"
"4","RT @amazon: Introducing #AmazonGo, a new kind of store with no lines and no checkout. https://t.co/WMii0bWevi https://t.co/OmZdzobA5F",FALSE,0,NA,2016-12-15 05:14:52,FALSE,NA,"809265446427836416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nyx12",21839,TRUE,FALSE,NA,NA,"Melbourne, Australia","en","http://pbs.twimg.com/profile_images/1827828895/IMG-20110917-00206_normal.jpg"
"5","Redefining the shopping experience. I could do with no lines and no checkouts #amazongo https://t.co/7EZmXuetRJ https://t.co/seWPPLzjZE",FALSE,0,NA,2016-12-15 05:06:22,FALSE,NA,"809263305688657920",NA,"<a href=""http://dynamicsignal.com/"" rel=""nofollow"">VoiceStorm</a>","CindyMcCutcheon",0,FALSE,FALSE,NA,NA,"Sydney, Australia","en","http://pbs.twimg.com/profile_images/1664886825/Twitter2_normal.JPG"
"6","RT @amazon: Introducing #AmazonGo, a new kind of store with no lines and no checkout. https://t.co/WMii0bWevi https://t.co/OmZdzobA5F",FALSE,0,NA,2016-12-15 04:53:05,FALSE,NA,"809259962442596356",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oh_I_w1ll",21839,TRUE,FALSE,NA,NA,"Michigan, USA","en","http://pbs.twimg.com/profile_images/798079163475329024/1jlkxOfk_normal.jpg"
"7","RT @jimmykimmel: EXCLUSIVE @IamGuillermo tries #AmazonGo… https://t.co/5GTnPwomun",FALSE,0,NA,2016-12-15 04:16:58,FALSE,NA,"809250876170915840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","valeriakendry",153,TRUE,FALSE,NA,NA,"Monterrey, Mx.","en","http://pbs.twimg.com/profile_images/795648435940687872/3p71sYF5_normal.jpg"
"8","How #Amazon is leading the way in #retail technology #AmazonGo https://t.co/XVu6vSjMHc https://t.co/KTm1xQkcDw",FALSE,0,NA,2016-12-15 04:10:09,FALSE,NA,"809249158125223936",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","retail_biz",0,FALSE,FALSE,NA,NA,"Australia","en","http://pbs.twimg.com/profile_images/788561163994804224/BKtIZyN8_normal.jpg"
"9","This is amazing!!! Would take forever to reach Virginia. #AmazonGo https://t.co/BPesL2y4V0",FALSE,0,NA,2016-12-15 03:29:59,FALSE,NA,"809239052801232903",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LamarJerel",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/761215961189982208/sjVINeKr_normal.jpg"
"10","RT @hannahlizwhite: My #amazongo post made it onto #huffpost. Read about why we're all ~f*cked~ below. #iot #automation https://t.co/LUiYv2…",FALSE,0,NA,2016-12-15 03:14:11,FALSE,NA,"809235075476897792",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","FerneWhite1",2,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/463705400756285440/RKNF0Ef2_normal.png"
"11","You never know about perfect crimes but they exist. Soon someone will find a way to hack these. #AmazonGo #parody 
https://t.co/2eg3kFm4Ja",FALSE,0,NA,2016-12-15 03:09:39,FALSE,NA,"809233936513527808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","binoyyj",0,FALSE,FALSE,NA,NA,"Trivandrum, India","en","http://pbs.twimg.com/profile_images/786619841213890560/SnqAJ2W-_normal.jpg"
"12","Will Amazon Go Replace Traditional Shopping???

https://t.co/UffhTWlIvK

#Amazon #amazongo #shopping https://t.co/MM8G4AWN8K",FALSE,0,NA,2016-12-15 02:58:15,FALSE,NA,"809231066410127361",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ValosoVideos",0,FALSE,FALSE,NA,NA,"Melbourne, Australia","en","http://pbs.twimg.com/profile_images/731444299859165184/QgJc6Q9U_normal.jpg"
"13","#Robots could take over 3.4M human #jobs thanks to Amazon Go’s new grocery stores https://t.co/wowC8yWxjw #Employment #AmazonGo @Amazon",FALSE,0,NA,2016-12-15 02:42:20,FALSE,NA,"809227058932948992",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","politcalcupcake",0,FALSE,FALSE,NA,NA,"us","en","http://pbs.twimg.com/profile_images/541414234899218432/-kjgn_8Z_normal.png"
